batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
19,2026-03-18 12:31:55 EDT,all,QQQ,600.56,308,827287.0,1042982.0,1.261,-7626.8,119745286.0,201174048.0,-81428762.0,0.281,0.2845,0.0035,3.74,1.443,0.0951,0.5621,6.75
19,2026-03-18 12:31:55 EDT,all,SPXW,6681.31,566,368352.0,569056.0,1.545,-483.86,400416542.0,726067205.0,-325650662.0,0.2442,0.2469,0.0026,36.2,2.15,-0.0126,-0.0449,2.65
19,2026-03-18 12:31:55 EDT,all,SPY,667.1,365,1310506.0,1803153.0,1.376,-21630.16,196210985.0,357370708.0,-161159723.0,0.2284,0.4701,0.2417,3.7,1.442,-0.1146,0.138,6.26
19,2026-03-18 12:31:55 EDT,all,TLT,87.32,51,14772.0,11796.0,0.799,10715.25,413231.0,559210.0,-145980.0,0.1814,0.158,-0.0234,0.38,18.675,0.0284,-0.1041,14.71
20,2026-03-18 12:32:21 EDT,all,IWM,248.27,155,159679.0,428568.0,2.684,-43455.73,16110818.0,41447550.0,-25336733.0,0.3824,0.3793,-0.0031,2.34,2.292,-0.0317,0.7347,9.09
20,2026-03-18 12:32:21 EDT,all,QQQ,600.52,304,828119.0,1045937.0,1.263,-7647.0,118932680.0,207068512.0,-88135832.0,0.2796,0.284,0.0044,3.78,1.472,0.1812,-0.1203,6.74
20,2026-03-18 12:32:21 EDT,all,SPXW,6678.71,567,365550.0,583626.0,1.597,-500.06,376726615.0,772133125.0,-395406510.0,0.247,0.2491,0.0021,36.35,2.352,0.1102,-0.1455,2.66
20,2026-03-18 12:32:21 EDT,all,SPY,666.98,368,1312312.0,1803172.0,1.374,-21617.47,191927366.0,364206563.0,-172279196.0,0.2418,0.4668,0.225,3.71,1.434,-0.0396,-0.2408,6.27
20,2026-03-18 12:32:21 EDT,all,TLT,87.32,52,14798.0,11796.0,0.797,10584.12,415457.0,559532.0,-144076.0,0.1912,0.158,-0.0332,0.38,18.625,0.0527,-0.0547,14.52
21,2026-03-18 12:32:47 EDT,all,IWM,248.31,155,176932.0,429137.0,2.425,-43314.68,16554323.0,40859905.0,-24305582.0,0.3833,0.3797,-0.0036,2.34,2.67,-0.2224,0.3245,9.06
21,2026-03-18 12:32:47 EDT,all,QQQ,600.54,309,829040.0,1046595.0,1.262,-7665.36,120489286.0,204151384.0,-83662097.0,0.2783,0.2863,0.0079,3.76,1.407,-0.0619,0.0874,6.74
21,2026-03-18 12:32:47 EDT,all,SPXW,6680.07,566,369742.0,571367.0,1.545,-488.7,388257940.0,759039098.0,-370781158.0,0.2451,0.2498,0.0047,36.25,2.122,-0.0729,-0.1104,2.65
21,2026-03-18 12:32:47 EDT,all,SPY,667.05,366,1312880.0,1807434.0,1.377,-21713.57,194122172.0,362825506.0,-168703334.0,0.2328,0.464,0.2313,3.7,1.451,-0.0687,-0.3386,6.26
21,2026-03-18 12:32:47 EDT,all,TLT,87.32,50,14744.0,11796.0,0.8,10451.85,401844.0,560296.0,-158451.0,0.1732,0.1588,-0.0144,0.38,18.741,0.0231,-0.0789,14.78
22,2026-03-18 12:33:13 EDT,all,IWM,248.28,156,177148.0,429155.0,2.423,-43295.24,16434305.0,41062311.0,-24628006.0,0.3923,0.3758,-0.0165,2.34,2.719,0.0002,0.1368,9.06
22,2026-03-18 12:33:13 EDT,all,QQQ,600.52,307,829365.0,1046388.0,1.262,-7630.27,120170337.0,205520456.0,-85350119.0,0.2786,0.285,0.0064,3.78,1.521,0.0251,0.1444,6.75
22,2026-03-18 12:33:13 EDT,all,SPXW,6679.67,567,370020.0,584667.0,1.58,-494.26,384710582.0,765926468.0,-381215885.0,0.2453,0.2501,0.0047,36.3,1.966,-0.1158,-0.2467,2.66
22,2026-03-18 12:33:13 EDT,all,SPY,667.05,370,1314216.0,1807789.0,1.376,-21648.99,193773739.0,362907968.0,-169134230.0,0.2321,0.4842,0.252,3.7,1.434,0.0515,-0.2497,6.27
22,2026-03-18 12:33:13 EDT,all,TLT,87.32,50,14744.0,11800.0,0.8,10439.07,401247.0,560054.0,-158807.0,0.1732,0.1586,-0.0146,0.38,19.239,0.0352,-0.0789,14.76
23,2026-03-18 12:33:40 EDT,all,IWM,248.25,154,177165.0,429599.0,2.425,-43413.42,16307532.0,41423925.0,-25116394.0,0.3887,0.3808,-0.0079,2.34,2.653,-0.2154,0.2005,9.05
23,2026-03-18 12:33:40 EDT,all,QQQ,600.46,304,830426.0,1045806.0,1.259,-7581.04,119537230.0,207549956.0,-88012726.0,0.2926,0.2711,-0.0215,3.84,1.409,0.0749,0.2012,6.75
23,2026-03-18 12:33:40 EDT,all,SPXW,6680.24,566,369353.0,571782.0,1.548,-489.83,382769180.0,760622022.0,-377852842.0,0.244,0.25,0.0061,36.3,2.038,0.0293,-0.1329,2.65
23,2026-03-18 12:33:40 EDT,all,SPY,667.06,369,1314558.0,1815401.0,1.381,-22142.12,194570872.0,363388392.0,-168817520.0,0.2332,0.4707,0.2375,3.71,1.443,-0.1149,-0.4603,6.27
23,2026-03-18 12:33:40 EDT,all,TLT,87.31,50,14771.0,11176.0,0.757,10989.64,400578.0,522073.0,-121496.0,0.1843,0.1545,-0.0298,0.38,18.795,0.0337,-0.087,14.52
24,2026-03-18 12:34:06 EDT,all,IWM,248.03,156,160532.0,441637.0,2.751,-44254.44,15170226.0,45574300.0,-30404074.0,0.3903,0.3821,-0.0082,2.32,2.548,-0.044,0.2873,9.07
24,2026-03-18 12:34:06 EDT,all,QQQ,599.95,327,813579.0,1062209.0,1.306,-8204.59,108861420.0,232685585.0,-123824166.0,0.3164,0.2922,-0.0242,3.82,1.845,0.1637,-0.0477,6.75
24,2026-03-18 12:34:06 EDT,all,SPXW,6676.57,594,369912.0,588565.0,1.591,-510.35,367235330.0,839231275.0,-471995945.0,0.2477,0.3287,0.0809,36.95,2.124,-0.0515,0.0563,2.67
24,2026-03-18 12:34:06 EDT,all,SPY,666.58,377,1319378.0,1830510.0,1.387,-22604.13,184367010.0,403809112.0,-219442102.0,0.242,0.467,0.225,3.77,1.628,-0.0811,-0.3169,6.31
24,2026-03-18 12:34:06 EDT,all,TLT,87.31,52,15536.0,12615.0,0.812,11294.44,399620.0,744848.0,-345229.0,0.1738,0.1617,-0.0121,0.38,18.489,-0.0329,-0.1082,13.15
25,2026-03-18 12:34:32 EDT,all,IWM,247.93,156,160785.0,442148.0,2.75,-44388.3,14585729.0,47056128.0,-32470398.0,0.3903,0.3826,-0.0076,2.33,2.421,0.1793,-0.3252,9.06
25,2026-03-18 12:34:32 EDT,all,QQQ,599.75,322,816360.0,1067024.0,1.307,-7951.81,104481396.0,241310621.0,-136829225.0,0.3241,0.2933,-0.0308,3.8,1.8,0.2342,0.177,6.75
25,2026-03-18 12:34:32 EDT,all,SPXW,6672.94,579,371916.0,588243.0,1.582,-519.18,350329240.0,861204380.0,-510875140.0,0.2562,0.2522,-0.004,37.15,2.45,0.0634,0.0624,2.67
25,2026-03-18 12:34:32 EDT,all,SPY,666.37,382,1325308.0,1840139.0,1.388,-22617.64,178426532.0,423669130.0,-245242598.0,0.253,0.4679,0.2149,3.82,1.513,0.0664,-0.1119,6.31
25,2026-03-18 12:34:32 EDT,all,TLT,87.3,58,15626.0,19519.0,1.249,5806.79,417316.0,729886.0,-312570.0,0.1962,0.1615,-0.0347,0.38,20.571,-0.1115,-0.3268,15.72
